algorithm,algorithm_type,base_algorithm,scenario,coverage_percentage,active_drones,energy_efficiency,execution_time,success,error,timestamp,target_drones,target_count,area_size
Original_Greedy,Original,Greedy,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'drones',2025-08-25T15:02:53.576477,,,
Original_GA,Original,GA,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.576477,,,
Original_PSO,Original,PSO,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.576477,,,
Original_SA,Original,SA,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.577479,,,
Original_GWO,Original,GWO,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.577479,,,
Original_MRFO,Original,MRFO,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.581290,,,
Original_GA_SA_Hybrid,Original,GA_SA_Hybrid,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.587422,,,
Staged_Greedy,Staged,Greedy,Small_Scale,28.000000000000004,4,7.000000000000001,0.0010025501251220703,True,,2025-08-25T15:02:53.588425,8.0,25.0,"(20, 20)"
Staged_GA,Staged,GA,Small_Scale,24.0,4,6.0,0.0,True,,2025-08-25T15:02:53.589427,8.0,25.0,"(20, 20)"
Staged_PSO,Staged,PSO,Small_Scale,24.0,4,6.0,0.0,True,,2025-08-25T15:02:53.590425,8.0,25.0,"(20, 20)"
Staged_SA,Staged,SA,Small_Scale,24.0,4,6.0,0.0,True,,2025-08-25T15:02:53.591458,8.0,25.0,"(20, 20)"
Staged_GWO,Staged,GWO,Small_Scale,20.0,4,5.0,0.001653909683227539,True,,2025-08-25T15:02:53.593290,8.0,25.0,"(20, 20)"
Staged_MRFO,Staged,MRFO,Small_Scale,20.0,4,5.0,0.0,True,,2025-08-25T15:02:53.593428,8.0,25.0,"(20, 20)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Small_Scale,8.0,4,2.0,0.0,True,,2025-08-25T15:02:53.594429,8.0,25.0,"(20, 20)"
Original_Greedy,Original,Greedy,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'drones',2025-08-25T15:02:53.595428,,,
Original_GA,Original,GA,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.596429,,,
Original_PSO,Original,PSO,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.598706,,,
Original_SA,Original,SA,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.600624,,,
Original_GWO,Original,GWO,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.602622,,,
Original_MRFO,Original,MRFO,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.604729,,,
Original_GA_SA_Hybrid,Original,GA_SA_Hybrid,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.606758,,,
Staged_Greedy,Staged,Greedy,Medium_Scale,22.857142857142858,8,2.857142857142857,0.0,True,,2025-08-25T15:02:53.606758,12.0,35.0,"(25, 25)"
Staged_GA,Staged,GA,Medium_Scale,25.71428571428571,8,3.214285714285714,0.0,True,,2025-08-25T15:02:53.606758,12.0,35.0,"(25, 25)"
Staged_PSO,Staged,PSO,Medium_Scale,31.428571428571427,8,3.9285714285714284,0.0,True,,2025-08-25T15:02:53.612254,12.0,35.0,"(25, 25)"
Staged_SA,Staged,SA,Medium_Scale,25.71428571428571,8,3.214285714285714,0.0,True,,2025-08-25T15:02:53.613250,12.0,35.0,"(25, 25)"
Staged_GWO,Staged,GWO,Medium_Scale,37.142857142857146,8,4.642857142857143,0.002437114715576172,True,,2025-08-25T15:02:53.616689,12.0,35.0,"(25, 25)"
Staged_MRFO,Staged,MRFO,Medium_Scale,31.428571428571427,8,3.9285714285714284,0.0,True,,2025-08-25T15:02:53.623937,12.0,35.0,"(25, 25)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Medium_Scale,20.0,8,2.5,0.0,True,,2025-08-25T15:02:53.624937,12.0,35.0,"(25, 25)"
Original_Greedy,Original,Greedy,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'drones',2025-08-25T15:02:53.624937,,,
Original_GA,Original,GA,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.625936,,,
Original_PSO,Original,PSO,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.625936,,,
Original_SA,Original,SA,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.626937,,,
Original_GWO,Original,GWO,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.627441,,,
Original_MRFO,Original,MRFO,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.628590,,,
Original_GA_SA_Hybrid,Original,GA_SA_Hybrid,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.628590,,,
Staged_Greedy,Staged,Greedy,Large_Scale,26.0,13,2.0,0.0,True,,2025-08-25T15:02:53.631249,16.0,50.0,"(30, 30)"
Staged_GA,Staged,GA,Large_Scale,26.0,13,2.0,0.00099945068359375,True,,2025-08-25T15:02:53.635640,16.0,50.0,"(30, 30)"
Staged_PSO,Staged,PSO,Large_Scale,20.0,13,1.5384615384615385,0.0009984970092773438,True,,2025-08-25T15:02:53.638639,16.0,50.0,"(30, 30)"
Staged_SA,Staged,SA,Large_Scale,32.0,13,2.4615384615384617,0.0,True,,2025-08-25T15:02:53.639640,16.0,50.0,"(30, 30)"
Staged_GWO,Staged,GWO,Large_Scale,26.0,13,2.0,0.0,True,,2025-08-25T15:02:53.642330,16.0,50.0,"(30, 30)"
Staged_MRFO,Staged,MRFO,Large_Scale,28.000000000000004,13,2.153846153846154,0.0035827159881591797,True,,2025-08-25T15:02:53.650190,16.0,50.0,"(30, 30)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Large_Scale,30.0,13,2.3076923076923075,0.0,True,,2025-08-25T15:02:53.654342,16.0,50.0,"(30, 30)"
Original_Greedy,Original,Greedy,Dense_Deployment,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'drones',2025-08-25T15:02:53.656340,,,
Original_GA,Original,GA,Dense_Deployment,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.657342,,,
Original_PSO,Original,PSO,Dense_Deployment,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.657342,,,
Original_SA,Original,SA,Dense_Deployment,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:02:53.658377,,,
