Scenario,Scenario_Description,Scenario_Complexity,Algorithm,Algorithm_Display,Coverage,Active_Drones,Total_Drones,Energy_Efficiency,Coverage_Efficiency,Execution_Time,Converged,Config_ID,Run_Number
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),96.74393682767379,12,12,0.0,96.74393682767379,0.09515166282653809,True,1,1
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),95.11505979602133,12,12,0.0,95.11505979602133,0.06824159622192383,True,1,2
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),93.5277358099797,12,12,0.0,93.5277358099797,0.14517927169799805,True,1,3
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),88.52786182367707,12,12,0.0,88.52786182367707,0.05023765563964844,True,2,1
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),90.78582414313564,12,12,0.0,90.78582414313564,0.031751394271850586,True,2,2
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),85.04574416062148,12,12,0.0,85.04574416062148,0.04099750518798828,True,2,3
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),95.4529869513009,12,12,0.0,95.4529869513009,0.04517412185668945,True,3,1
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),93.71082422505758,12,12,0.0,93.71082422505758,0.052462100982666016,True,3,2
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),97.36888873359965,12,12,0.0,97.36888873359965,0.04912519454956055,True,3,3
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),92.39020060762492,12,12,0.0,92.39020060762492,0.2001323699951172,True,4,1
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),94.68553361488641,12,12,0.0,94.68553361488641,0.04027891159057617,True,4,2
small_coverage,Small area - High coverage potential,Low,greedy,Greedy Algorithm (Baseline),89.93402285799999,12,12,0.0,89.93402285799999,0.18812227249145508,True,4,3
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,94.71591772365178,11,12,8.333333333333332,103.32645569852923,0.0,True,1,1
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,96.6002760637511,11,12,8.333333333333332,105.38211934227392,0.002123117446899414,True,1,2
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,93.72524398648177,11,12,8.333333333333332,102.24572071252557,0.003998517990112305,True,1,3
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,88.90804496805778,11,12,8.333333333333332,96.99059451060849,0.006000995635986328,False,2,1
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,94.355663925429,10,12,16.666666666666664,113.22679671051479,0.0009999275207519531,True,2,2
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,91.35678821197017,10,12,16.666666666666664,109.62814585436419,0.002000093460083008,True,2,3
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,93.01762844061004,10,12,16.666666666666664,111.62115412873204,0.0020036697387695312,True,3,1
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,90.26650830959785,11,12,8.333333333333332,98.4725545195613,0.016003131866455078,True,3,2
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,96.75865227326264,9,12,25.0,129.01153636435018,0.02599954605102539,True,3,3
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,92.2274359795999,10,12,16.666666666666664,110.67292317551988,0.0010018348693847656,True,4,1
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,89.72349617434848,11,12,8.333333333333332,97.88017764474381,0.00099945068359375,True,4,2
small_coverage,Small area - High coverage potential,Low,pso_standard,Standard PSO,90.1299574480509,10,12,16.666666666666664,108.15594893766108,0.028124094009399414,True,4,3
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),96.09533296866326,10,12,16.666666666666664,111.37366094436972,0.0009992122650146484,True,1,1
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),99.9,10,12,16.666666666666664,116.35454384115152,0.0019865036010742188,True,1,2
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),97.35046019231154,9,12,25.0,121.0366099068882,0.007110595703125,True,1,3
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),99.9,10,12,16.666666666666664,115.42878489431506,0.00099945068359375,True,2,1
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),97.69195463673734,10,12,16.666666666666664,110.87036235125123,0.005993366241455078,True,2,2
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),92.62980492637625,11,12,8.333333333333332,98.64432637929664,0.002002716064453125,True,2,3
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),98.22308615805287,10,12,16.666666666666664,109.14108738099104,0.003000020980834961,True,3,1
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),99.08387535716889,10,12,16.666666666666664,114.12916128975215,0.001997232437133789,True,3,2
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),94.5888874662605,9,12,25.0,122.69566653628895,0.0009987354278564453,True,3,3
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),98.27479523479771,11,12,8.333333333333332,104.62338315469829,0.006963968276977539,True,4,1
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),91.69811350148143,11,12,8.333333333333332,97.36350030305641,0.003002166748046875,True,4,2
small_coverage,Small area - High coverage potential,Low,pso_smart,Smart PSO (Coverage-First),99.9,11,12,8.333333333333332,104.28327229569558,0.030008316040039062,True,4,3
small_coverage,Small area - High coverage potential,Low,ga_standard,Standard GA,95.30352704306925,9,12,25.0,127.071369390759,0.008996725082397461,True,1,1
small_coverage,Small area - High coverage potential,Low,ga_standard,Standard GA,92.44012473709098,10,12,16.666666666666664,110.92814968450918,0.0020008087158203125,True,1,2
