Scenario,Algorithm,mean,std,min,max,count
dense_optimal,ga_sa_hybrid,90.79,3.7,85.1,95.91,12
dense_optimal,ga_standard,88.85,3.17,85.15,94.46,12
dense_optimal,greedy,91.93,3.9,85.54,97.49,12
dense_optimal,gwo,91.07,2.35,87.76,95.0,12
dense_optimal,mrfo,89.72,2.37,86.01,93.06,12
dense_optimal,pso_smart,97.09,1.96,93.89,99.9,12
dense_optimal,pso_standard,92.8,1.62,90.09,95.57,12
extreme_coverage,ga_sa_hybrid,90.35,3.28,85.03,95.54,12
extreme_coverage,ga_standard,89.93,3.73,85.12,95.41,12
extreme_coverage,greedy,92.68,3.48,86.48,97.26,12
extreme_coverage,gwo,89.97,1.57,87.14,92.88,12
extreme_coverage,mrfo,89.63,2.65,85.18,93.42,12
extreme_coverage,pso_smart,96.89,2.92,91.21,99.9,12
extreme_coverage,pso_standard,91.68,2.85,88.06,95.31,12
large_coverage,ga_sa_hybrid,91.07,3.02,86.31,94.43,12
large_coverage,ga_standard,92.04,3.44,85.45,95.54,12
large_coverage,greedy,93.08,3.01,88.69,97.98,12
large_coverage,gwo,90.41,3.09,86.62,93.9,12
large_coverage,mrfo,89.33,2.91,84.11,93.72,12
large_coverage,pso_smart,96.64,2.38,93.04,99.9,12
large_coverage,pso_standard,92.58,2.78,88.26,96.84,12
medium_coverage,ga_sa_hybrid,90.5,2.7,86.93,95.27,12
medium_coverage,ga_standard,90.11,3.09,85.03,93.25,12
medium_coverage,greedy,91.66,3.87,86.08,97.93,12
medium_coverage,gwo,89.7,2.67,86.15,94.63,12
medium_coverage,mrfo,88.61,2.53,84.89,93.13,12
medium_coverage,pso_smart,97.92,2.2,92.89,99.9,12
medium_coverage,pso_standard,91.89,2.35,88.39,94.94,12
small_coverage,ga_sa_hybrid,90.86,3.66,85.31,95.85,12
small_coverage,ga_standard,90.82,3.5,85.31,95.3,12
small_coverage,greedy,92.77,3.63,85.05,97.37,12
small_coverage,gwo,89.93,2.14,87.49,94.1,12
small_coverage,mrfo,90.49,2.96,85.45,93.33,12
small_coverage,pso_smart,97.11,2.81,91.7,99.9,12
small_coverage,pso_standard,92.65,2.65,88.91,96.76,12
sparse_challenge,ga_sa_hybrid,91.15,3.06,85.67,95.11,12
sparse_challenge,ga_standard,91.6,4.02,85.06,95.84,12
sparse_challenge,greedy,92.21,4.06,85.61,97.72,12
sparse_challenge,gwo,89.99,2.26,86.3,93.71,12
sparse_challenge,mrfo,88.2,2.93,84.09,92.52,12
sparse_challenge,pso_smart,96.64,2.26,93.63,99.9,12
sparse_challenge,pso_standard,91.53,2.35,88.61,95.64,12
