Scenario,Algorithm,mean,std,min,max
dense_optimal,ga_sa_hybrid,12.78,5.47,3.33,20.0
dense_optimal,ga_standard,18.89,5.92,10.0,26.67
dense_optimal,greedy,0.0,0.0,0.0,0.0
dense_optimal,gwo,11.39,6.27,3.33,23.33
dense_optimal,mrfo,16.11,8.63,3.33,26.67
dense_optimal,pso_smart,9.17,5.88,3.33,20.0
dense_optimal,pso_standard,10.28,5.77,3.33,20.0
extreme_coverage,ga_sa_hybrid,9.31,5.29,3.33,20.0
extreme_coverage,ga_standard,15.56,7.5,3.33,25.0
extreme_coverage,greedy,0.0,0.0,0.0,0.0
extreme_coverage,gwo,11.67,7.18,5.0,25.0
extreme_coverage,mrfo,19.86,9.99,1.67,30.0
extreme_coverage,pso_smart,11.53,4.95,1.67,16.67
extreme_coverage,pso_standard,12.92,5.13,5.0,20.0
large_coverage,ga_sa_hybrid,13.33,8.21,2.5,25.0
large_coverage,ga_standard,11.46,5.59,5.0,22.5
large_coverage,greedy,0.0,0.0,0.0,0.0
large_coverage,gwo,14.38,7.7,2.5,25.0
large_coverage,mrfo,16.04,10.63,2.5,30.0
large_coverage,pso_smart,10.62,6.32,2.5,20.0
large_coverage,pso_standard,12.92,5.72,2.5,20.0
medium_coverage,ga_sa_hybrid,15.0,7.06,4.0,28.0
medium_coverage,ga_standard,14.33,7.33,4.0,28.0
medium_coverage,greedy,0.0,0.0,0.0,0.0
medium_coverage,gwo,17.0,7.65,4.0,24.0
medium_coverage,mrfo,15.33,9.92,4.0,32.0
medium_coverage,pso_smart,10.67,6.46,4.0,20.0
medium_coverage,pso_standard,11.33,5.35,4.0,20.0
small_coverage,ga_sa_hybrid,15.28,6.96,8.33,25.0
small_coverage,ga_standard,17.36,7.5,8.33,25.0
small_coverage,greedy,0.0,0.0,0.0,0.0
small_coverage,gwo,13.89,6.49,8.33,25.0
small_coverage,mrfo,16.67,7.95,8.33,33.33
small_coverage,pso_smart,15.28,5.98,8.33,25.0
small_coverage,pso_standard,13.19,5.57,8.33,25.0
sparse_challenge,ga_sa_hybrid,17.67,6.26,4.0,24.0
sparse_challenge,ga_standard,19.67,4.96,12.0,28.0
sparse_challenge,greedy,0.0,0.0,0.0,0.0
sparse_challenge,gwo,17.0,6.85,4.0,28.0
sparse_challenge,mrfo,16.33,10.58,4.0,32.0
sparse_challenge,pso_smart,10.67,4.29,4.0,16.0
sparse_challenge,pso_standard,11.33,6.57,4.0,20.0
