Scenario,Algorithm,mean,std,min,max
dense_optimal,ga_sa_hybrid,0.0,0.0,0.0,0.01
dense_optimal,ga_standard,0.0,0.0,0.0,0.0
dense_optimal,greedy,0.09,0.02,0.07,0.13
dense_optimal,gwo,0.0,0.0,0.0,0.01
dense_optimal,mrfo,0.0,0.0,0.0,0.0
dense_optimal,pso_smart,0.0,0.0,0.0,0.0
dense_optimal,pso_standard,0.0,0.0,0.0,0.0
extreme_coverage,ga_sa_hybrid,0.0,0.0,0.0,0.0
extreme_coverage,ga_standard,0.0,0.0,0.0,0.0
extreme_coverage,greedy,0.25,0.13,0.18,0.63
extreme_coverage,gwo,0.0,0.0,0.0,0.01
extreme_coverage,mrfo,0.0,0.0,0.0,0.01
extreme_coverage,pso_smart,0.0,0.0,0.0,0.0
extreme_coverage,pso_standard,0.0,0.0,0.0,0.0
large_coverage,ga_sa_hybrid,0.0,0.0,0.0,0.0
large_coverage,ga_standard,0.0,0.0,0.0,0.0
large_coverage,greedy,0.21,0.17,0.11,0.73
large_coverage,gwo,0.0,0.0,0.0,0.02
large_coverage,mrfo,0.0,0.01,0.0,0.02
large_coverage,pso_smart,0.0,0.0,0.0,0.0
large_coverage,pso_standard,0.0,0.01,0.0,0.02
medium_coverage,ga_sa_hybrid,0.0,0.01,0.0,0.03
medium_coverage,ga_standard,0.0,0.01,0.0,0.03
medium_coverage,greedy,0.09,0.01,0.07,0.11
medium_coverage,gwo,0.0,0.0,0.0,0.01
medium_coverage,mrfo,0.0,0.0,0.0,0.01
medium_coverage,pso_smart,0.01,0.03,0.0,0.1
medium_coverage,pso_standard,0.0,0.0,0.0,0.01
small_coverage,ga_sa_hybrid,0.0,0.0,0.0,0.01
small_coverage,ga_standard,0.0,0.0,0.0,0.01
small_coverage,greedy,0.08,0.06,0.03,0.2
small_coverage,gwo,0.0,0.0,0.0,0.0
small_coverage,mrfo,0.0,0.01,0.0,0.04
small_coverage,pso_smart,0.01,0.01,0.0,0.03
small_coverage,pso_standard,0.01,0.01,0.0,0.03
sparse_challenge,ga_sa_hybrid,0.0,0.0,0.0,0.0
sparse_challenge,ga_standard,0.0,0.0,0.0,0.0
sparse_challenge,greedy,0.12,0.02,0.1,0.16
sparse_challenge,gwo,0.0,0.0,0.0,0.0
sparse_challenge,mrfo,0.0,0.0,0.0,0.0
sparse_challenge,pso_smart,0.0,0.0,0.0,0.0
sparse_challenge,pso_standard,0.0,0.0,0.0,0.0
