scenario,algorithm,parallel_mode,error,timestamp
Small_Dense,Smart_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.675483
Small_Dense,Smart_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.675483
Small_Dense,Smart_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.675483
Small_Dense,Smart_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.675483
Small_Dense,Smart_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.675483
Small_Dense,Smart_PSO,True,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.675483
Small_Dense,Smart_PSO,True,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.675483
Small_Dense,Smart_PSO,True,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.675483
Small_Dense,Smart_PSO,True,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.680111
Small_Dense,Smart_PSO,True,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.680111
Small_Dense,Standard_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.681112
Small_Dense,Standard_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.681112
Small_Dense,Standard_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.682115
Small_Dense,Standard_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.682115
Small_Dense,Standard_PSO,False,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.682115
Small_Dense,Standard_PSO,True,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.683117
Small_Dense,Standard_PSO,True,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.683117
Small_Dense,Standard_PSO,True,DroneSimulationEnvironment.__init__() got an unexpected keyword argument 'area_width',2025-08-22T18:32:44.683117
