Scenario,Algorithm,Coverage (%),Energy Efficiency,Time Efficiency,Stability Score,Scalability Index,Grid Efficiency,Convergence Iterations,Overlap Penalty,Area Coverage Ratio
Small Dense,Greedy,94.69,113.63,52.67,10,205.02,0.947,13,2.5,15.15
Small Dense,Genetic Algorithm,96.58,128.78,5.83,10,209.11,1.073,39,1.25,15.45
Standard Grid,Greedy,95.35,112.17,30.74,10,118.45,0.401,18,3.22,34.32
Standard Grid,Genetic Algorithm,92.93,116.16,2.51,10,115.44,0.415,80,2.44,33.45
Extended Grid,Greedy,94.21,112.15,22.81,10,98.13,0.374,15,0.5,45.22
Extended Grid,Genetic Algorithm,93.63,117.03,1.88,10,97.53,0.39,106,0.0,44.94
Dense Coverage,Greedy,96.21,120.26,38.96,10,149.04,0.501,17,5.36,24.05
Dense Coverage,Genetic Algorithm,95.55,119.44,4.04,10,148.03,0.498,52,5.36,23.89
Large Scale,Greedy,93.0,112.25,11.22,10,68.78,0.214,21,0.88,74.4
Large Scale,Genetic Algorithm,94.94,118.67,1.19,10,70.21,0.226,168,0.5,75.95
Minimal Grid,Greedy,94.25,125.67,107.33,10,296.21,1.309,11,6.0,8.48
Minimal Grid,Genetic Algorithm,93.78,125.04,9.58,10,294.72,1.302,30,6.0,8.44
