Scenario,Algorithm,Coverage (%),Energy Efficiency,Time Efficiency,Stability Score,Scalability Index,Grid Efficiency,Convergence Iterations,Overlap Penalty,Area Coverage Ratio
Small Dense,Greedy,93.34,112.01,58.66,10,202.1,0.933,12,2.5,14.94
Small Dense,Genetic Algorithm,93.41,124.55,5.53,10,202.24,1.038,43,1.25,14.95
Standard Grid,Greedy,98.69,116.1,32.92,10,122.59,0.415,17,3.22,35.53
Standard Grid,Genetic Algorithm,92.96,116.2,2.94,10,115.48,0.415,69,2.44,33.46
Extended Grid,Greedy,98.54,117.31,17.34,10,102.65,0.391,16,0.5,47.3
Extended Grid,Genetic Algorithm,96.06,120.08,1.84,10,100.07,0.4,116,0.0,46.11
Dense Coverage,Greedy,92.23,115.29,39.9,10,142.88,0.48,9,5.36,23.06
Dense Coverage,Genetic Algorithm,94.9,118.63,3.89,10,147.02,0.494,62,5.36,23.73
Large Scale,Greedy,98.22,118.54,11.18,10,72.63,0.226,24,0.88,78.57
Large Scale,Genetic Algorithm,95.56,119.44,1.13,10,70.66,0.228,176,0.5,76.44
Minimal Grid,Greedy,95.0,126.66,108.44,10,298.54,1.319,15,6.0,8.55
Minimal Grid,Genetic Algorithm,88.77,118.36,9.36,10,278.98,1.233,30,6.0,7.99
