algorithm,coverage_percentage_mean,coverage_percentage_std,coverage_percentage_min,coverage_percentage_max,active_drones_mean,active_drones_std,energy_efficiency_mean,energy_efficiency_std,execution_time_mean,execution_time_std
Original_GA,37.939,14.516,17.778,55.0,15.167,6.463,2.953,1.932,0.056,0.059
Original_GA_SA_Hybrid,37.939,14.516,17.778,55.0,15.167,6.463,2.953,1.932,0.014,0.015
Original_GWO,37.939,14.516,17.778,55.0,15.167,6.463,2.953,1.932,0.014,0.014
Original_Greedy,37.939,14.516,17.778,55.0,15.167,6.463,2.953,1.932,0.035,0.034
Original_MRFO,37.939,14.516,17.778,55.0,15.167,6.463,2.953,1.932,0.027,0.024
Original_PSO,37.939,14.516,17.778,55.0,15.167,6.463,2.953,1.932,0.02,0.026
Original_SA,37.939,14.516,17.778,55.0,15.167,6.463,2.953,1.932,0.018,0.018
Staged_GA,37.939,14.516,17.778,55.0,12.833,6.882,3.647,2.263,0.125,0.101
Staged_GA_SA_Hybrid,37.939,14.516,17.778,55.0,12.833,6.882,3.647,2.263,0.124,0.083
Staged_GWO,37.939,14.516,17.778,55.0,12.833,6.882,3.647,2.263,0.146,0.127
Staged_Greedy,37.939,14.516,17.778,55.0,12.833,6.882,3.647,2.263,0.13,0.114
Staged_MRFO,37.939,14.516,17.778,55.0,12.833,6.882,3.647,2.263,0.151,0.112
Staged_PSO,37.939,14.516,17.778,55.0,12.833,6.882,3.647,2.263,0.116,0.108
Staged_SA,37.939,14.516,17.778,55.0,12.833,6.882,3.647,2.263,0.1,0.078
