algorithm,algorithm_type,base_algorithm,scenario,coverage_percentage,active_drones,energy_efficiency,execution_time,success,error,timestamp,target_drones,target_count,area_size
Staged_Greedy,Staged,Greedy,Small_Scale,16.0,4,4.0,0.008350133895874023,True,,2025-08-25T15:04:15.084746,8.0,25.0,"(20, 20)"
Staged_GA,Staged,GA,Small_Scale,20.0,4,5.0,0.0,True,,2025-08-25T15:04:15.085746,8.0,25.0,"(20, 20)"
Staged_PSO,Staged,PSO,Small_Scale,12.0,4,3.0,0.0009968280792236328,True,,2025-08-25T15:04:15.088745,8.0,25.0,"(20, 20)"
Staged_SA,Staged,SA,Small_Scale,20.0,4,5.0,0.0,True,,2025-08-25T15:04:15.090567,8.0,25.0,"(20, 20)"
Staged_GWO,Staged,GWO,Small_Scale,20.0,4,5.0,0.0,True,,2025-08-25T15:04:15.091568,8.0,25.0,"(20, 20)"
Staged_MRFO,Staged,MRFO,Small_Scale,32.0,4,8.0,0.0,True,,2025-08-25T15:04:15.093567,8.0,25.0,"(20, 20)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Small_Scale,32.0,4,8.0,0.0009980201721191406,True,,2025-08-25T15:04:15.094566,8.0,25.0,"(20, 20)"
Staged_Greedy,Staged,Greedy,Medium_Scale,37.142857142857146,8,4.642857142857143,0.0,True,,2025-08-25T15:04:15.106884,12.0,35.0,"(25, 25)"
Staged_GA,Staged,GA,Medium_Scale,37.142857142857146,8,4.642857142857143,0.007158994674682617,True,,2025-08-25T15:04:15.118073,12.0,35.0,"(25, 25)"
Staged_PSO,Staged,PSO,Medium_Scale,17.142857142857142,8,2.142857142857143,0.0009987354278564453,True,,2025-08-25T15:04:15.123127,12.0,35.0,"(25, 25)"
Staged_SA,Staged,SA,Medium_Scale,17.142857142857142,8,2.142857142857143,0.030170917510986328,True,,2025-08-25T15:04:15.199594,12.0,35.0,"(25, 25)"
Staged_GWO,Staged,GWO,Medium_Scale,28.57142857142857,8,3.571428571428571,0.05425691604614258,True,,2025-08-25T15:04:15.310739,12.0,35.0,"(25, 25)"
Staged_MRFO,Staged,MRFO,Medium_Scale,22.857142857142858,8,2.857142857142857,0.050366878509521484,True,,2025-08-25T15:04:15.431888,12.0,35.0,"(25, 25)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Medium_Scale,28.57142857142857,8,3.571428571428571,0.041098833084106445,True,,2025-08-25T15:04:15.544843,12.0,35.0,"(25, 25)"
Staged_Greedy,Staged,Greedy,Large_Scale,24.0,13,1.8461538461538463,0.022835493087768555,True,,2025-08-25T15:04:15.772392,16.0,50.0,"(30, 30)"
Staged_GA,Staged,GA,Large_Scale,26.0,13,2.0,0.022132396697998047,True,,2025-08-25T15:04:15.804938,16.0,50.0,"(30, 30)"
Staged_PSO,Staged,PSO,Large_Scale,32.0,13,2.4615384615384617,0.005043745040893555,True,,2025-08-25T15:04:15.832999,16.0,50.0,"(30, 30)"
Staged_SA,Staged,SA,Large_Scale,30.0,13,2.3076923076923075,0.02795100212097168,True,,2025-08-25T15:04:15.892907,16.0,50.0,"(30, 30)"
Staged_GWO,Staged,GWO,Large_Scale,20.0,13,1.5384615384615385,0.01663994789123535,True,,2025-08-25T15:04:15.933419,16.0,50.0,"(30, 30)"
Staged_MRFO,Staged,MRFO,Large_Scale,28.000000000000004,13,2.153846153846154,0.028355836868286133,True,,2025-08-25T15:04:16.004751,16.0,50.0,"(30, 30)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Large_Scale,20.0,13,1.5384615384615385,0.07162594795227051,True,,2025-08-25T15:04:16.108232,16.0,50.0,"(30, 30)"
Staged_Greedy,Staged,Greedy,Dense_Deployment,40.0,16,2.5,0.01824641227722168,True,,2025-08-25T15:04:16.610735,20.0,60.0,"(30, 30)"
Staged_GA,Staged,GA,Dense_Deployment,31.666666666666664,16,1.9791666666666665,0.02667403221130371,True,,2025-08-25T15:04:16.648842,20.0,60.0,"(30, 30)"
Staged_PSO,Staged,PSO,Dense_Deployment,46.666666666666664,16,2.9166666666666665,0.019929885864257812,True,,2025-08-25T15:04:16.675262,20.0,60.0,"(30, 30)"
Staged_SA,Staged,SA,Dense_Deployment,36.666666666666664,16,2.2916666666666665,0.03174853324890137,True,,2025-08-25T15:04:16.721704,20.0,60.0,"(30, 30)"
Staged_GWO,Staged,GWO,Dense_Deployment,45.0,16,2.8125,0.003070831298828125,True,,2025-08-25T15:04:16.727768,20.0,60.0,"(30, 30)"
Staged_MRFO,Staged,MRFO,Dense_Deployment,35.0,16,2.1875,0.0024497509002685547,True,,2025-08-25T15:04:16.743110,20.0,60.0,"(30, 30)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Dense_Deployment,26.666666666666668,16,1.6666666666666667,0.014818429946899414,True,,2025-08-25T15:04:16.773201,20.0,60.0,"(30, 30)"
Staged_Greedy,Staged,Greedy,Sparse_Coverage,11.11111111111111,6,1.8518518518518519,0.053435325622558594,True,,2025-08-25T15:04:17.433522,10.0,45.0,"(40, 40)"
Staged_GA,Staged,GA,Sparse_Coverage,8.88888888888889,6,1.4814814814814816,0.1062612533569336,True,,2025-08-25T15:04:17.611826,10.0,45.0,"(40, 40)"
Staged_PSO,Staged,PSO,Sparse_Coverage,4.444444444444445,6,0.7407407407407408,0.0548243522644043,True,,2025-08-25T15:04:17.757008,10.0,45.0,"(40, 40)"
Staged_SA,Staged,SA,Sparse_Coverage,2.2222222222222223,6,0.3703703703703704,0.019194602966308594,True,,2025-08-25T15:04:17.807125,10.0,45.0,"(40, 40)"
Staged_GWO,Staged,GWO,Sparse_Coverage,4.444444444444445,6,0.7407407407407408,0.04037594795227051,True,,2025-08-25T15:04:17.884722,10.0,45.0,"(40, 40)"
Staged_MRFO,Staged,MRFO,Sparse_Coverage,8.88888888888889,6,1.4814814814814816,0.012984991073608398,True,,2025-08-25T15:04:17.920381,10.0,45.0,"(40, 40)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Sparse_Coverage,4.444444444444445,6,0.7407407407407408,0.01891493797302246,True,,2025-08-25T15:04:17.964887,10.0,45.0,"(40, 40)"
Staged_Greedy,Staged,Greedy,Extreme_Scale,26.666666666666668,25,1.0666666666666667,0.0020003318786621094,True,,2025-08-25T15:04:18.393960,25.0,75.0,"(45, 45)"
Staged_GA,Staged,GA,Extreme_Scale,26.666666666666668,25,1.0666666666666667,0.10895180702209473,True,,2025-08-25T15:04:18.655449,25.0,75.0,"(45, 45)"
Staged_PSO,Staged,PSO,Extreme_Scale,37.333333333333336,25,1.4933333333333334,0.138838529586792,True,,2025-08-25T15:04:18.871767,25.0,75.0,"(45, 45)"
Staged_SA,Staged,SA,Extreme_Scale,26.666666666666668,25,1.0666666666666667,0.06423807144165039,True,,2025-08-25T15:04:19.021602,25.0,75.0,"(45, 45)"
Staged_GWO,Staged,GWO,Extreme_Scale,22.666666666666664,25,0.9066666666666666,0.0030002593994140625,True,,2025-08-25T15:04:19.038634,25.0,75.0,"(45, 45)"
Staged_MRFO,Staged,MRFO,Extreme_Scale,17.333333333333336,25,0.6933333333333335,0.0009989738464355469,True,,2025-08-25T15:04:19.044635,25.0,75.0,"(45, 45)"
