algorithm,algorithm_type,base_algorithm,scenario,coverage_percentage,active_drones,energy_efficiency,execution_time,success,error,timestamp,target_drones,target_count,area_size
Original_Greedy,Original,Greedy,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'drones',2025-08-25T15:04:15.059421,,,
Original_GA,Original,GA,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.059421,,,
Original_PSO,Original,PSO,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.060421,,,
Original_SA,Original,SA,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.066556,,,
Original_GWO,Original,GWO,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.072367,,,
Original_MRFO,Original,MRFO,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.073367,,,
Original_GA_SA_Hybrid,Original,GA_SA_Hybrid,Small_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.076395,,,
Staged_Greedy,Staged,Greedy,Small_Scale,16.0,4,4.0,0.008350133895874023,True,,2025-08-25T15:04:15.084746,8.0,25.0,"(20, 20)"
Staged_GA,Staged,GA,Small_Scale,20.0,4,5.0,0.0,True,,2025-08-25T15:04:15.085746,8.0,25.0,"(20, 20)"
Staged_PSO,Staged,PSO,Small_Scale,12.0,4,3.0,0.0009968280792236328,True,,2025-08-25T15:04:15.088745,8.0,25.0,"(20, 20)"
Staged_SA,Staged,SA,Small_Scale,20.0,4,5.0,0.0,True,,2025-08-25T15:04:15.090567,8.0,25.0,"(20, 20)"
Staged_GWO,Staged,GWO,Small_Scale,20.0,4,5.0,0.0,True,,2025-08-25T15:04:15.091568,8.0,25.0,"(20, 20)"
Staged_MRFO,Staged,MRFO,Small_Scale,32.0,4,8.0,0.0,True,,2025-08-25T15:04:15.093567,8.0,25.0,"(20, 20)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Small_Scale,32.0,4,8.0,0.0009980201721191406,True,,2025-08-25T15:04:15.094566,8.0,25.0,"(20, 20)"
Original_Greedy,Original,Greedy,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'drones',2025-08-25T15:04:15.100129,,,
Original_GA,Original,GA,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.101128,,,
Original_PSO,Original,PSO,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.101128,,,
Original_SA,Original,SA,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.102128,,,
Original_GWO,Original,GWO,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.102128,,,
Original_MRFO,Original,MRFO,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.103128,,,
Original_GA_SA_Hybrid,Original,GA_SA_Hybrid,Medium_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.103128,,,
Staged_Greedy,Staged,Greedy,Medium_Scale,37.142857142857146,8,4.642857142857143,0.0,True,,2025-08-25T15:04:15.106884,12.0,35.0,"(25, 25)"
Staged_GA,Staged,GA,Medium_Scale,37.142857142857146,8,4.642857142857143,0.007158994674682617,True,,2025-08-25T15:04:15.118073,12.0,35.0,"(25, 25)"
Staged_PSO,Staged,PSO,Medium_Scale,17.142857142857142,8,2.142857142857143,0.0009987354278564453,True,,2025-08-25T15:04:15.123127,12.0,35.0,"(25, 25)"
Staged_SA,Staged,SA,Medium_Scale,17.142857142857142,8,2.142857142857143,0.030170917510986328,True,,2025-08-25T15:04:15.199594,12.0,35.0,"(25, 25)"
Staged_GWO,Staged,GWO,Medium_Scale,28.57142857142857,8,3.571428571428571,0.05425691604614258,True,,2025-08-25T15:04:15.310739,12.0,35.0,"(25, 25)"
Staged_MRFO,Staged,MRFO,Medium_Scale,22.857142857142858,8,2.857142857142857,0.050366878509521484,True,,2025-08-25T15:04:15.431888,12.0,35.0,"(25, 25)"
Staged_GA_SA_Hybrid,Staged,GA_SA_Hybrid,Medium_Scale,28.57142857142857,8,3.571428571428571,0.041098833084106445,True,,2025-08-25T15:04:15.544843,12.0,35.0,"(25, 25)"
Original_Greedy,Original,Greedy,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'drones',2025-08-25T15:04:15.674797,,,
Original_GA,Original,GA,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.687295,,,
Original_PSO,Original,PSO,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.700500,,,
Original_SA,Original,SA,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.708079,,,
Original_GWO,Original,GWO,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.726335,,,
Original_MRFO,Original,MRFO,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.738447,,,
Original_GA_SA_Hybrid,Original,GA_SA_Hybrid,Large_Scale,0.0,0,0.0,0.0,False,'SimpleEnvironment' object has no attribute 'width',2025-08-25T15:04:15.749556,,,
Staged_Greedy,Staged,Greedy,Large_Scale,24.0,13,1.8461538461538463,0.022835493087768555,True,,2025-08-25T15:04:15.772392,16.0,50.0,"(30, 30)"
Staged_GA,Staged,GA,Large_Scale,26.0,13,2.0,0.022132396697998047,True,,2025-08-25T15:04:15.804938,16.0,50.0,"(30, 30)"
Staged_PSO,Staged,PSO,Large_Scale,32.0,13,2.4615384615384617,0.005043745040893555,True,,2025-08-25T15:04:15.832999,16.0,50.0,"(30, 30)"
Staged_SA,Staged,SA,Large_Scale,30.0,13,2.3076923076923075,0.02795100212097168,True,,2025-08-25T15:04:15.892907,16.0,50.0,"(30, 30)"
