algorithm,algorithm_type,base_algorithm,scenario,coverage_percentage,active_drones,energy_efficiency,execution_time,target_drones,target_count,area_size,coverage_radius,success,timestamp
Enhanced_Greedy,Enhanced,Greedy,Optimal_Small,92.0,10,9.2,0.07883977890014648,10,25,"(20, 20)",3.5,True,2025-08-26T01:43:56.091662
Enhanced_GA,Enhanced,GA,Optimal_Small,100.0,10,10.0,1.3251619338989258,10,25,"(20, 20)",3.5,True,2025-08-26T01:43:57.416824
Enhanced_PSO,Enhanced,PSO,Optimal_Small,92.0,10,9.2,2.29186749458313,10,25,"(20, 20)",3.5,True,2025-08-26T01:43:59.709690
Staged_Enhanced_Greedy,Staged,Greedy,Optimal_Small,100.0,10,10.0,0.11694073677062988,10,25,"(20, 20)",3.5,True,2025-08-26T01:43:59.826631
Staged_Enhanced_GA,Staged,GA,Optimal_Small,100.0,10,10.0,1.9180731773376465,10,25,"(20, 20)",3.5,True,2025-08-26T01:44:01.744704
Staged_Enhanced_PSO,Staged,PSO,Optimal_Small,100.0,10,10.0,2.5855445861816406,10,25,"(20, 20)",3.5,True,2025-08-26T01:44:04.330249
Enhanced_Greedy,Enhanced,Greedy,Optimal_Medium,91.42857142857143,15,6.095238095238096,0.1843562126159668,15,35,"(25, 25)",3.5,True,2025-08-26T01:44:04.530238
Enhanced_GA,Enhanced,GA,Optimal_Medium,100.0,15,6.666666666666667,2.726087808609009,15,35,"(25, 25)",3.5,True,2025-08-26T01:44:07.257329
Enhanced_PSO,Enhanced,PSO,Optimal_Medium,94.28571428571428,15,6.285714285714286,3.883826732635498,15,35,"(25, 25)",3.5,True,2025-08-26T01:44:11.141627
Staged_Enhanced_Greedy,Staged,Greedy,Optimal_Medium,100.0,15,6.666666666666667,0.26346898078918457,15,35,"(25, 25)",3.5,True,2025-08-26T01:44:11.405096
Staged_Enhanced_GA,Staged,GA,Optimal_Medium,100.0,15,6.666666666666667,2.7082293033599854,15,35,"(25, 25)",3.5,True,2025-08-26T01:44:14.113325
Staged_Enhanced_PSO,Staged,PSO,Optimal_Medium,100.0,15,6.666666666666667,3.7678563594818115,15,35,"(25, 25)",3.5,True,2025-08-26T01:44:17.881182
Enhanced_Greedy,Enhanced,Greedy,Optimal_Large,92.0,20,4.6,0.45359206199645996,20,50,"(30, 30)",3.5,True,2025-08-26T01:44:18.350374
Enhanced_GA,Enhanced,GA,Optimal_Large,100.0,20,5.0,4.475759744644165,20,50,"(30, 30)",3.5,True,2025-08-26T01:44:22.826134
Enhanced_PSO,Enhanced,PSO,Optimal_Large,94.0,20,4.7,9.70285940170288,20,50,"(30, 30)",3.5,True,2025-08-26T01:44:32.528993
Staged_Enhanced_Greedy,Staged,Greedy,Optimal_Large,98.0,20,4.9,0.7323040962219238,20,50,"(30, 30)",3.5,True,2025-08-26T01:44:33.261297
Staged_Enhanced_GA,Staged,GA,Optimal_Large,100.0,20,5.0,5.3008873462677,20,50,"(30, 30)",3.5,True,2025-08-26T01:44:38.563196
Staged_Enhanced_PSO,Staged,PSO,Optimal_Large,98.0,20,4.9,7.856847047805786,20,50,"(30, 30)",3.5,True,2025-08-26T01:44:46.420043
Enhanced_Greedy,Enhanced,Greedy,High_Density,96.66666666666667,25,3.8666666666666667,0.8587987422943115,25,60,"(30, 30)",3.5,True,2025-08-26T01:44:47.278842
Enhanced_GA,Enhanced,GA,High_Density,100.0,25,4.0,5.988622188568115,25,60,"(30, 30)",3.5,True,2025-08-26T01:44:53.267464
Enhanced_PSO,Enhanced,PSO,High_Density,95.0,25,3.8,10.63771653175354,25,60,"(30, 30)",3.5,True,2025-08-26T01:45:03.905180
Staged_Enhanced_Greedy,Staged,Greedy,High_Density,98.33333333333333,25,3.933333333333333,1.2742998600006104,25,60,"(30, 30)",3.5,True,2025-08-26T01:45:05.179480
Staged_Enhanced_GA,Staged,GA,High_Density,100.0,25,4.0,7.586441993713379,25,60,"(30, 30)",3.5,True,2025-08-26T01:45:12.765922
Staged_Enhanced_PSO,Staged,PSO,High_Density,95.0,25,3.8,9.865730047225952,25,60,"(30, 30)",3.5,True,2025-08-26T01:45:22.631652
Enhanced_Greedy,Enhanced,Greedy,Balanced_Coverage,91.11111111111111,16,5.694444444444445,0.30068278312683105,16,45,"(35, 35)",4.0,True,2025-08-26T01:45:22.932335
Enhanced_GA,Enhanced,GA,Balanced_Coverage,91.11111111111111,16,5.694444444444445,4.010254383087158,16,45,"(35, 35)",4.0,True,2025-08-26T01:45:26.942589
