Algorithm,Dense Coverage,Wide Area,Energy Constrained,High Precision,Mixed Terrain,Emergency Response
PSO,89.5%,87.2%,85.8%,83.1%,80.7%,88.4%
GA,87.8%,85.9%,83.4%,81.2%,78.9%,86.1%
SA,85.1%,83.7%,81.9%,79.4%,77.2%,84.8%
ACO,86.4%,84.5%,82.7%,80.3%,78.8%,85.5%
DE,84.7%,82.8%,80.5%,78.1%,76.4%,83.2%
ABC,83.9%,82.1%,79.8%,77.6%,75.8%,82.9%
Greedy,75.2%,73.8%,71.5%,69.7%,68.1%,74.4%
PSO_Staged,91.2%,89.4%,87.9%,85.7%,83.1%,90.8%
GA_Staged,89.9%,88.1%,85.6%,83.4%,81.2%,88.7%
SA_Staged,87.3%,85.9%,84.1%,81.8%,79.6%,86.4%
ACO_Staged,88.6%,86.7%,84.9%,82.5%,80.9%,87.3%
DE_Staged,86.9%,85.0%,82.7%,80.3%,78.7%,85.6%
ABC_Staged,86.1%,84.3%,82.0%,79.8%,78.0%,84.8%
Greedy_Staged,81.4%,79.8%,77.5%,75.2%,73.8%,80.9%
