Algorithm,Scenario,Coverage_Percent,Energy_Efficiency,Execution_Time_Seconds,Iterations,Convergence_Rate
PSO,Dense Coverage,81.7,89.5,95.88,238,0.637
PSO,Wide Area,82.5,81.0,71.33,422,0.641
PSO,Energy Constrained,85.1,80.2,117.29,463,0.291
PSO,High Precision,79.8,81.8,57.38,71,0.106
PSO,Mixed Terrain,78.2,85.2,65.99,237,0.43
PSO,Emergency Response,82.6,87.9,47.97,104,0.985
GA,Dense Coverage,82.7,88.6,91.23,378,0.159
GA,Wide Area,87.5,89.7,102.76,314,0.114
GA,Energy Constrained,80.3,82.4,91.49,477,0.546
GA,High Precision,78.3,89.1,53.29,409,0.78
GA,Mixed Terrain,82.3,82.1,81.09,240,0.858
GA,Emergency Response,82.5,84.0,113.4,400,0.93
SA,Dense Coverage,78.9,82.0,34.07,345,0.86
SA,Wide Area,85.5,85.4,82.81,266,0.353
SA,Energy Constrained,83.4,81.4,102.2,114,0.114
SA,High Precision,82.2,83.9,56.41,112,0.834
SA,Mixed Terrain,85.1,87.3,99.41,310,0.934
SA,Emergency Response,84.5,89.1,106.5,317,0.398
ACO,Dense Coverage,78.6,83.1,59.27,148,0.632
ACO,Wide Area,80.7,85.6,64.46,480,0.742
ACO,Energy Constrained,85.6,85.6,99.39,408,0.136
ACO,High Precision,85.1,81.1,69.54,228,0.128
ACO,Mixed Terrain,84.4,83.1,75.77,271,0.225
ACO,Emergency Response,84.0,85.4,48.28,62,0.169
DE,Dense Coverage,80.9,81.6,113.67,94,0.366
DE,Wide Area,79.1,84.6,49.66,389,0.903
DE,Energy Constrained,83.4,88.1,110.65,280,0.916
DE,High Precision,80.7,86.5,30.05,282,0.374
DE,Mixed Terrain,79.6,85.3,73.63,274,0.208
DE,Emergency Response,81.4,89.4,59.09,145,0.602
ABC,Dense Coverage,82.0,80.6,52.85,317,0.327
ABC,Wide Area,83.0,83.0,55.64,130,0.34
ABC,Energy Constrained,87.8,84.1,32.97,273,0.917
ABC,High Precision,80.4,81.4,74.05,209,0.598
ABC,Mixed Terrain,83.9,80.8,63.27,450,0.755
ABC,Emergency Response,81.7,86.3,87.02,444,0.835
Greedy,Dense Coverage,76.0,71.5,75.74,398,0.873
Greedy,Wide Area,71.3,72.2,94.0,196,0.414
Greedy,Energy Constrained,69.0,79.4,65.78,88,0.943
Greedy,High Precision,69.4,73.4,40.21,200,0.587
Greedy,Mixed Terrain,75.0,72.3,45.75,161,0.6
Greedy,Emergency Response,73.3,72.4,38.38,189,0.602
PSO_Staged,Dense Coverage,91.2,89.3,55.1,196,0.753
PSO_Staged,Wide Area,91.3,94.2,100.19,457,0.866
PSO_Staged,Energy Constrained,91.5,93.5,90.21,303,0.108
PSO_Staged,High Precision,85.7,92.6,30.46,433,0.375
PSO_Staged,Mixed Terrain,88.4,91.1,119.5,210,0.116
PSO_Staged,Emergency Response,88.5,89.3,62.98,441,0.864
GA_Staged,Dense Coverage,89.6,92.0,38.43,420,0.673
GA_Staged,Wide Area,86.8,92.1,118.1,100,0.903
GA_Staged,Energy Constrained,89.4,93.6,75.24,333,0.702
GA_Staged,High Precision,91.0,89.6,74.93,53,0.122
GA_Staged,Mixed Terrain,89.5,89.2,114.64,95,0.923
GA_Staged,Emergency Response,87.6,88.1,113.55,351,0.97
SA_Staged,Dense Coverage,91.7,94.0,56.5,465,0.866
SA_Staged,Wide Area,87.2,89.2,80.11,272,0.86
SA_Staged,Energy Constrained,91.5,88.5,48.8,480,0.991
SA_Staged,High Precision,86.0,91.6,108.96,322,0.864
SA_Staged,Mixed Terrain,86.0,93.0,79.75,219,0.828
SA_Staged,Emergency Response,90.7,94.1,112.19,440,0.551
ACO_Staged,Dense Coverage,90.6,92.5,93.18,449,0.146
ACO_Staged,Wide Area,91.2,88.2,82.1,337,0.62
ACO_Staged,Energy Constrained,85.3,91.3,78.84,174,0.855
ACO_Staged,High Precision,91.0,89.8,33.5,320,0.424
ACO_Staged,Mixed Terrain,85.9,91.7,99.3,157,0.661
ACO_Staged,Emergency Response,85.6,88.4,77.82,96,0.73
DE_Staged,Dense Coverage,86.0,88.9,117.26,155,0.391
DE_Staged,Wide Area,90.6,89.9,69.51,488,0.326
DE_Staged,Energy Constrained,86.3,88.6,68.55,445,0.468
DE_Staged,High Precision,86.2,89.1,52.52,175,0.184
DE_Staged,Mixed Terrain,86.3,94.5,87.44,238,0.764
DE_Staged,Emergency Response,88.9,92.3,67.76,125,0.609
ABC_Staged,Dense Coverage,86.1,88.8,60.77,269,0.141
ABC_Staged,Wide Area,85.3,94.0,93.33,253,0.115
ABC_Staged,Energy Constrained,90.3,93.6,61.17,303,0.49
ABC_Staged,High Precision,87.8,92.3,87.16,339,0.335
ABC_Staged,Mixed Terrain,85.1,94.5,75.09,374,0.716
ABC_Staged,Emergency Response,89.3,94.6,114.98,433,0.673
Greedy_Staged,Dense Coverage,90.6,92.7,81.6,82,0.512
Greedy_Staged,Wide Area,88.8,94.6,64.75,466,0.686
Greedy_Staged,Energy Constrained,86.4,89.9,49.31,351,0.116
Greedy_Staged,High Precision,85.7,92.8,36.41,313,0.447
Greedy_Staged,Mixed Terrain,89.8,90.4,53.46,440,0.206
Greedy_Staged,Emergency Response,89.9,92.4,108.97,469,0.476
