Algorithm,Avg Coverage (%),Max Coverage (%),Min Coverage (%),Coverage Std Dev,Avg Drones,Min Drones,Max Drones,Drone Std Dev,Overall Score
PSO_Staged,88.02,91.20,83.10,2.87,13.7,11,17,1.97,60.68
GA_Staged,86.15,89.90,81.20,3.08,14.7,12,18,1.97,56.82
PSO,85.78,89.50,80.70,3.05,14.7,12,18,1.97,56.45
ACO_Staged,85.15,88.60,80.90,2.71,14.7,12,18,1.97,55.82
SA_Staged,84.18,87.30,79.60,2.72,15.7,13,19,1.97,52.85
GA,83.88,87.80,78.90,3.07,15.7,13,19,1.97,52.55
DE_Staged,83.20,86.90,78.70,2.93,15.7,13,19,1.97,51.87
ACO,83.03,86.40,78.80,2.74,15.7,13,19,1.97,51.70
ABC_Staged,82.50,86.10,78.00,2.87,16.7,14,20,1.97,49.17
SA,82.02,85.10,77.20,2.89,16.7,14,20,1.97,48.68
DE,80.95,84.70,76.40,2.93,16.7,14,20,1.97,47.62
ABC,80.35,83.90,75.80,2.91,17.7,15,21,1.97,45.02
Greedy_Staged,78.10,81.40,73.80,2.85,18.7,16,22,1.97,40.77
Greedy,72.12,75.20,68.10,2.58,21.3,18,25,2.36,29.45
