algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped
standard_greedy,small_area_few_drones,1,62.8,5,5,5,3.0029964447021484,0.0,False,2025-09-03T23:53:56.607136,500,321,95,0.5,50,True,False
standard_greedy,medium_area_standard,1,49.559999999999995,12,15,15,6.623999118804932,19.999999999999996,False,2025-09-03T23:54:03.232135,500,67,95,0.5,50,True,False
standard_greedy,large_area_many_drones,1,65.28,24,30,30,11.815987586975098,19.999999999999996,False,2025-09-03T23:54:15.051123,500,237,95,0.5,50,True,False
standard_greedy,challenging_small_radius,1,37.6,16,20,20,18.484631061553955,19.999999999999996,False,2025-09-03T23:54:33.535754,500,240,95,0.5,50,True,False
standard_greedy,efficiency_test,1,82.39999999999999,12,12,12,4.220741033554077,0.0,False,2025-09-03T23:54:37.758496,500,361,95,0.5,50,True,False
standard_greedy,parallel_processing_test,1,47.160000000000004,15,24,25,7.249378442764282,37.5,False,2025-09-03T23:54:45.012881,500,261,95,0.5,50,True,False
standard_genetic,small_area_few_drones,1,85.8,5,5,5,2.342597484588623,0.0,True,2025-09-03T23:54:47.357481,500,67,95,0.5,50,True,False
standard_genetic,medium_area_standard,1,55.2,10,14,15,5.394328832626343,28.57142857142857,False,2025-09-03T23:54:52.754809,500,350,95,0.5,50,True,False
standard_genetic,large_area_many_drones,1,53.559999999999995,19,30,30,8.395016193389893,36.66666666666667,False,2025-09-03T23:55:01.150820,500,124,95,0.5,50,True,False
standard_genetic,challenging_small_radius,1,42.120000000000005,19,19,20,10.74046778678894,0.0,False,2025-09-03T23:55:11.893286,500,232,95,0.5,50,True,False
standard_genetic,efficiency_test,1,83.16,12,12,12,4.085334300994873,0.0,False,2025-09-03T23:55:15.981624,500,208,95,0.5,50,True,False
standard_genetic,parallel_processing_test,1,55.67999999999999,17,25,25,12.185521125793457,31.999999999999996,False,2025-09-03T23:55:28.224839,500,108,95,0.5,50,True,False
standard_pso,small_area_few_drones,1,60.8,5,5,5,3.289985418319702,0.0,False,2025-09-03T23:55:31.522348,500,233,95,0.5,50,True,False
standard_pso,medium_area_standard,1,59.56,13,13,15,6.840841293334961,0.0,False,2025-09-03T23:55:38.369344,500,77,95,0.5,50,True,False
standard_pso,large_area_many_drones,1,68.92,23,29,30,14.895403146743774,20.68965517241379,False,2025-09-03T23:55:53.271749,500,339,95,0.5,50,True,False
standard_pso,challenging_small_radius,1,26.640000000000004,11,19,20,10.979668617248535,42.10526315789473,False,2025-09-03T23:56:04.284185,500,344,95,0.5,50,True,False
standard_pso,efficiency_test,1,69.64,9,10,12,3.645779848098755,9.999999999999998,False,2025-09-03T23:56:07.929965,500,138,95,0.5,50,True,False
standard_pso,parallel_processing_test,1,64.28,23,23,25,8.100075244903564,0.0,False,2025-09-03T23:56:16.030041,500,366,95,0.5,50,True,False
standard_sa,small_area_few_drones,1,85.44,5,5,5,1.5641086101531982,0.0,True,2025-09-03T23:56:17.596149,500,370,95,0.5,50,True,False
standard_sa,medium_area_standard,1,44.96,9,15,15,3.1833579540252686,40.0,False,2025-09-03T23:56:20.779507,500,157,95,0.5,50,True,False
