,coverage,coverage,coverage,coverage,execution_time,execution_time,energy_efficiency,energy_efficiency,target_achieved,target_achieved
,mean,std,min,max,mean,std,mean,std,mean,count
algorithm,,,,,,,,,,
staged_ga_sa,63.6,13.234,44.64,91.36,1.383,0.299,10.015,11.064,0.0,12
staged_genetic,65.223,16.175,43.28,91.92,1.461,0.522,7.639,9.808,0.167,12
staged_greedy,63.307,13.056,41.6,88.36,1.379,0.268,9.424,10.795,0.0,12
staged_gwo,60.857,14.959,29.6,87.4,1.648,0.382,16.28,12.387,0.0,12
staged_mrfo,63.74,15.467,32.48,88.24,1.625,0.42,8.683,8.652,0.0,12
staged_pso,62.417,19.179,31.12,92.12,1.256,0.103,13.117,12.668,0.167,12
staged_sa,61.0,14.664,32.72,79.4,1.363,0.268,18.235,11.759,0.0,12
standard_ga_sa,55.637,11.639,35.12,69.6,1.429,0.541,21.23,15.956,0.0,12
standard_genetic,53.777,16.597,25.48,79.72,1.185,0.156,26.621,22.39,0.0,12
standard_greedy,61.787,17.077,32.24,89.76,1.2,0.155,19.691,11.809,0.0,12
standard_gwo,57.2,17.273,33.88,87.6,1.365,0.387,23.591,17.393,0.0,12
standard_mrfo,61.403,17.323,26.48,83.32,1.773,0.938,17.909,14.208,0.0,12
standard_pso,50.647,13.827,27.16,72.92,1.445,0.53,27.701,16.032,0.0,12
standard_sa,54.223,15.921,29.36,89.72,1.407,0.478,23.224,18.0,0.0,12
