algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped,coverage_plot_path
standard_greedy,small_area_few_drones,1,78.24,5,5,5,1.1405117511749268,0.0,False,2025-09-08T19:53:33.584802,500,80,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_greedy_small_area_few_drones_run1_coverage.png
standard_greedy,medium_area_standard,1,45.28,9,14,15,1.0986607074737549,35.71428571428571,False,2025-09-08T19:53:35.888277,500,255,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_greedy_medium_area_standard_run1_coverage.png
standard_greedy,large_area_many_drones,1,67.0,22,30,30,1.4719996452331543,26.66666666666667,False,2025-09-08T19:53:38.508039,500,405,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_greedy_large_area_many_drones_run1_coverage.png
standard_greedy,challenging_small_radius,1,42.6,17,18,20,1.4601185321807861,5.555555555555558,False,2025-09-08T19:53:41.120722,500,355,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_greedy_challenging_small_radius_run1_coverage.png
standard_greedy,efficiency_test,1,80.76,8,11,12,1.2887225151062012,27.27272727272727,False,2025-09-08T19:53:43.729608,500,234,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_greedy_efficiency_test_run1_coverage.png
standard_greedy,parallel_processing_test,1,63.2,19,24,25,1.101036787033081,20.833333333333336,False,2025-09-08T19:53:46.007727,500,300,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_greedy_parallel_processing_test_run1_coverage.png
standard_genetic,small_area_few_drones,1,70.6,5,5,5,1.006592035293579,0.0,False,2025-09-08T19:53:48.390950,500,359,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_genetic_small_area_few_drones_run1_coverage.png
standard_genetic,medium_area_standard,1,59.12,11,15,15,1.3053491115570068,26.66666666666667,False,2025-09-08T19:53:50.868596,500,271,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_genetic_medium_area_standard_run1_coverage.png
standard_genetic,large_area_many_drones,1,51.28,20,30,30,1.2168474197387695,33.333333333333336,False,2025-09-08T19:53:53.161685,500,236,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_genetic_large_area_many_drones_run1_coverage.png
standard_genetic,challenging_small_radius,1,25.480000000000004,12,20,20,1.051572322845459,40.0,False,2025-09-08T19:53:55.299715,500,492,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_genetic_challenging_small_radius_run1_coverage.png
